ID,meter_point_key,park_key,park_type,park_type_human,Round_Day(markets_at),contract_at,Round_Day(expires_at),Leistung [W],ownconsumption,latitude,longitude,Performance
1706,ZP_ID_1744,TEN_SO_Wilster_DE004060_(RD),solar,Photovoltaikanlage,2022-03-01T00:00:00,,,106600,,53.92,9.38,0.0
1023,ZP_ID_1202,TEN_SO_Winsen_DE003004,solar,Photovoltaikanlage,2021-02-01T00:00:00,2018-08-30 02:00:00,,207940,0.7,53.34,10.2,0.0
1024,ZP_ID_1200,TEN_SO_Winsen_DE006085,solar,Photovoltaikanlage,2021-02-01T00:00:00,2018-08-30 02:00:00,,227800,0.7,52.68,9.91,0.0
749,ZP_ID_0504,TEN_SO_Wirdum,solar,Photovoltaikanlage,2018-02-01T00:00:00,2017-12-11 01:00:00,,146000,,53.51,7.22,0.0
1276,ZP_ID_1404,TEN_SO_Wittmund_(RD),solar,Photovoltaikanlage,2021-10-01T00:00:00,,,275500,,53.61,7.81,0.0
750,ZP_ID_1098,TEN_SO_Witzenhausen_DE010046,solar,Photovoltaikanlage,2020-10-01T00:00:00,2018-08-30 02:00:00,,208560,0.7,51.34,9.86,0.0
751,ZP_ID_0590,TEN_SO_Wolfenbüttel_DE014070,solar,Photovoltaikanlage,2018-10-01T00:00:00,2018-08-30 02:00:00,,125440,0.7,52.16,10.51,0.0
1110,ZP_ID_1271,TEN_SO_Wunstorf_02,solar,Photovoltaikanlage,2021-05-19T00:00:00,2021-05-19 02:00:00,,239190,0.1,,,0.0
752,ZP_ID_0994,TEN_SO_Wunstorf_DE018078,solar,Photovoltaikanlage,2020-03-01T00:00:00,2018-08-30 02:00:00,,151800,0.7,52.43,9.46,0.0
753,ZP_ID_0876,TEN_SO_Zetel_DE015026,solar,Photovoltaikanlage,2020-04-01T00:00:00,2018-08-30 02:00:00,,173250,0.7,53.41,7.97,0.0
754,ZP_ID_0176,TEN_WI_Beratzhausen,wind,Windkraftanlage,2015-06-01T00:00:00,2015-06-01 02:00:00,,800000,,49.12,11.83,0.0
1918,ZP_ID_1873,TEN_WI_Brakelsiek_(PPA),wind,Windkraftanlage,2023-01-01T00:00:00,2023-01-01 01:00:00,2023-12-31T00:00:00,1000000,,51.89,9.16,0.0
1354,ZP_ID_1472,TEN_WI_Breidenbach_(RD),wind,Windkraftanlage,2021-10-01T00:00:00,,2022-04-30T00:00:00,600000,,50.89,8.44,0.0
755,ZP_ID_0733,TEN_WI_Buchholz,wind,Windkraftanlage,2019-01-01T00:00:00,2018-11-28 01:00:00,2020-12-31T00:00:00,600000,,53.32,9.87,0.0
756,ZP_ID_0405,TEN_WI_Dachsbach,wind,Windkraftanlage,2017-06-27T00:00:00,2018-12-22 01:00:00,2022-12-31T00:00:00,5000000,,49.65,10.72,0.0
757,ZP_ID_0731,TEN_WI_Emmelsbüll-Horsbüll,wind,Windkraftanlage,2019-01-01T00:00:00,2019-01-01 01:00:00,2020-12-31T00:00:00,6150000,,54.82,8.66,0.0
1919,ZP_ID_1874,TEN_WI_Fürstenau,wind,Windkraftanlage,2023-01-01T00:00:00,2023-01-01 01:00:00,2023-12-31T00:00:00,9350000,,51.82,9.3,0.0
758,ZP_ID_0734,TEN_WI_Hemme_02,wind,Windkraftanlage,2019-01-01T00:00:00,2016-12-20 01:00:00,2020-12-31T00:00:00,2300000,,54.26,9.01,0.0
759,ZP_ID_0156,TEN_WI_Jübek,wind,Windkraftanlage,2015-01-01T00:00:00,2018-12-13 01:00:00,2020-12-31T00:00:00,16800000,,54.55,9.41,0.0
760,ZP_ID_0100,TEN_WI_Kaiser-Wilhlem-Koog,wind,Windkraftanlage,2019-01-01T00:00:00,2019-01-06 01:00:00,2022-12-31T00:00:00,1800000,,53.92,8.96,0.0
